Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,freshprompt_answer,_gt_list,freshprompt_answer_evaluated,freshprompt_answer_explaination
158,158,TEST,How many LA metro rail stations are there?,2025,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Metro_Rail_stations#:~:text=The%20system%20includes%20107%20metro%20stations,107,,,,,,,,,,,"The question ""How many LA metro rail stations are there?"" contains a valid premise. As of the most recent information, the Los Angeles Metro Rail system consists of 107 stations.",['107'],correct,evaluation: correct
159,159,TEST,How many properties are there in the latest list of World Heritage in danger?,2025,occasionally,False,one-hop,slow-changing,"https://whc.unesco.org/en/danger-list/#:~:text=The-,53%20properties,-which%20the%20World",53,,,,,,,,,,,"The question contains a valid premise. As of the latest information, there are 56 entries on the List of World Heritage in Danger.",['53'],incorrect,evaluation: incorrect
160,160,TEST,Who won the biggest single-tournament payday in tennis history?,2025,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/ATP_Finals#:~:text=By%20winning%20the%202024%20title%2C%20Sinner%20earned%20a%20record%20%244%2C881%2C100%2C%20the%20second%20highest%20payout%20for%20a%20tournament%20winner%20in%20tennis%2C%20only%20after%20the%205%20million%20dollars%20prize%20won%20by%20Carlos%20Alcaraz%20at%20the%202025%20US%20Open%20%E2%80%93%20Men%27s%20singles.,Carlos Alcaraz,Alcaraz,Carlos Alcaraz Garfia,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, Elena Rybakina won the biggest single-tournament payday in tennis history, setting a new record for the most prize money won by a tennis player at a single tournament.","['Carlos Alcaraz', 'Alcaraz', 'Carlos Alcaraz Garfia']",incorrect,evaluation: incorrect
161,161,TEST,What's the largest stadium by capacity in the world?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_stadiums_by_capacity#Capacity_of_100,000_or_more:~:text=Image-,Narendra%20Modi%20Stadium,-114%2C600%5B1",Narendra Modi Stadium,,,,,,,,,,,"The question contains a valid premise. As of the most recent information, the largest stadium by capacity in the world is the Rungrado 1st of May Stadium in Pyongyang, North Korea, with a capacity of 150,000.",['Narendra Modi Stadium'],incorrect,evaluation: incorrect
162,162,TEST,What is the title of Taylor Swift's most recent studio album?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Taylor_Swift_albums_discography#Studio_albums:~:text=%5B94%5D-,The%20Life%20of%20a%20Showgirl,Released%3A%20October%203%2C%202025,-Label%3A%20Republic",The Life of a Showgirl,,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The title of Taylor Swift's most recent studio album is ""The Life of a Showgirl,"" released on October 3, 2025.",['The Life of a Showgirl'],correct,evaluation: correct
163,163,TEST,Who is the current Prime Minister of Japan?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Prime_Minister_of_Japan#:~:text=Incumbent%0ASanae%20Takaichi
https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Japan#List_of_prime_ministers:~:text=Sanae%20Takaichi%0A%E9%AB%98,Incumbent",Sanae Takaichi,,,,,,,,,,,"As of today, November 15, 2025, the current Prime Minister of Japan is Sanae Takaichi.",['Sanae Takaichi'],correct,evaluation: correct
164,164,TEST,What is the second highest-grossing Kannada movie of all time?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_highest-grossing_Kannada_films#:~:text=%5Bb%5D-,2,2025,-%5B22%5D",Kantara: Chapter 1,,,,,,,,,,,"The question contains a valid premise. As of the most recent information, ""Kantara: A Legend - Chapter 1"" is the second highest-grossing Kannada movie of all time.",['Kantara: Chapter 1'],incorrect,evaluation: incorrect
165,165,TEST,What month and year did Bitcoin reach its peak value?,2025,frequently,False,one-hop,slow-changing,https://www.google.com/finance/quote/BTC-USD?hl=en&window=5Y,October 2025,10/2025,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Bitcoin reached its peak value in October 2025, with a recorded price of $126,210.50 on October 6, 2025.","['October 2025', '10/2025']",correct,evaluation: correct
166,166,TEST,Is there a total solar eclipse in the continental US this year?,2025,01/01/2044,False,one-hop,slow-changing,https://www.cbsnews.com/news/next-total-solar-eclipse-2044-2045/#:~:text=The%20awe%2Dinspiring%20experience%20won%27t%20happen%20in%20the%20U.S.%20again%20until%202044%2C%20with%20only%20three%20states%20in%20the%20path%2C%20and%202045%2C%20with%20more%20than%20a%20dozen%20states%20in%20the%20path.,No,,,,,,,,,,,"The question contains an invalid premise. As of today, November 15, 2025, there is no total solar eclipse occurring in the continental US this year. The most recent total solar eclipse visible in the US was on April 8, 2024.",['No'],correct,evaluation: correct
167,167,TEST,Who is the President of the United States?,2025,01/01/2029,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/President_of_the_United_States#:~:text=Incumbent%0ADonald%20Trump,Donald Trump,Donald John Trump,,,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The current President of the United States is Donald John Trump.","['Donald Trump', 'Donald John Trump']",correct,evaluation: correct
168,168,TEST,Who is the most recent player to win both the PDC World Youth Championship and the PDC World Darts Championship?,2025,01/03/2026,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/PDC_World_Darts_Championship#:~:text=Paddy%20Power-,2025,%C2%A0Luke%20Littler,-(102.73)
https://en.wikipedia.org/wiki/Luke_Littler#:~:text=In%20his%20youth%20career%2C%20Littler%20won%20the%202023%20PDC%20World%20Youth%20Championship",Luke Littler,,,,,,,,,,,The question contains a valid premise. The most recent player to win both the PDC World Youth Championship and the PDC World Darts Championship is Luke Littler. He won the PDC World Youth Championship in 2023 and the PDC World Darts Championship in 2025.,['Luke Littler'],incorrect,evaluation: incorrect
169,169,TEST,How many asteroids have been discovered before impacting Earth?,2024,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Asteroid_impact_prediction#List_of_successfully_predicted_asteroid_impacts,11,eleven,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, nine asteroids have been discovered before impacting Earth.","['11', 'eleven']",incorrect,evaluation: incorrect
170,170,TEST,Which country is the most recent member state of the Schengen Area?,2024,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Schengen_Area#:~:text=Romania%20and%20Bulgaria%20are%20the%20newest%20members%20of%20the%20Schengen%20Area,Bulgaria and Romania,Bulgaria,Romania,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the most recent member states of the Schengen Area are Bulgaria and Romania, which joined on January 1, 2025.","['Bulgaria and Romania', 'Bulgaria', 'Romania']",correct,evaluation: correct
171,171,TEST,What is Greg Egan's latest novel?,2024,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Greg_Egan#Novels:~:text=Morphotrophic%20(2024),Morphotrophic,,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Greg Egan's latest novel is ""Morphotrophic,"" released in 2024.",['Morphotrophic'],correct,evaluation: correct
172,172,TEST,Who is the current Prime Minister of the United Kingdom?,2024,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom#:~:text=Incumbent%0AKeir%20Starmer,Keir Starmer,Sir Keir Rodney Starmer,,,,,,,,,,"As of today, November 15, 2025, the current Prime Minister of the United Kingdom is Keir Starmer.","['Keir Starmer', 'Sir Keir Rodney Starmer']",correct,evaluation: correct
173,173,TEST,Who is the most recent former Prime Minister of the United Kingdom?,2024,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom#:~:text=Rishi%20Sunak,year%2C%20255%C2%A0days",Rishi Sunak,,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the most recent former Prime Minister of the United Kingdom is Rishi Sunak, who served from October 2022 to July 2024.",['Rishi Sunak'],correct,evaluation: correct
174,174,TEST,Who is the highest-paid athlete in the world?,2024,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Forbes_list_of_the_world%27s_highest-paid_athletes#2025_list,Cristiano Ronaldo,Ronaldo,CR7,Cristiano Ronaldo dos Santos Aveiro,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Cristiano Ronaldo is the highest-paid athlete in the world.","['Cristiano Ronaldo', 'Ronaldo', 'CR7', 'Cristiano Ronaldo dos Santos Aveiro']",correct,evaluation: correct
175,175,TEST,What is the most recent outbreak declared as a public health emergency of international concern by WHO?,2024,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Public_health_emergency_of_international_concern#:~:text=%5B9%5D-,Clade%20I%20mpox,-(2024%E2%80%93present)",Clade I mpox,Mpox,mpox outbreak,Monkeypox,monkeypox outbreak,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the most recent outbreak declared as a public health emergency of international concern by the World Health Organization (WHO) is the mpox outbreak, declared on August 14, 2024.","['Clade I mpox', 'Mpox', 'mpox outbreak', 'Monkeypox', 'monkeypox outbreak']",correct,evaluation: correct
176,176,TEST,How much does Costco Executive membership cost annually?,2024,occasionally,False,one-hop,slow-changing,https://customerservice.costco.com/app/answers/answer_view/a_id/857#:~:text=%24130.00%20Annual%20membership%20fee%20(%2465%20membership%20fee%2C%20plus%20%2465%20upgrade%20fee)*,$130,,,,,,,,,,,"The question contains a valid premise. As of the most recent information, a Costco Executive membership costs $130 annually.",['$130'],correct,evaluation: correct
177,177,TEST,What is the name of the world's fastest supercomputer?,2024,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/TOP500#TOP_500:~:text=Operating%0Asystem-,1,El%20Capitan,-HPE%20Cray%20EX255a",El Capitan,Hewlett Packard Enterprise El Capitan,,,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The world's fastest supercomputer is named El Capitan.","['El Capitan', 'Hewlett Packard Enterprise El Capitan']",correct,evaluation: correct
178,178,TEST,On what date did Kendrick Lamar release his most recent studio album?,2024,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Kendrick_Lamar#Discography:~:text=Steppers%20(2022)-,GNX%20(2024),-Filmography
https://en.wikipedia.org/wiki/GNX_(album)#:~:text=by%20Kendrick%20Lamar-,Released,November%C2%A022%2C%C2%A02024,-Recorded","Nov 22, 2024","November 22, 2024",22 Nov 2024,22 November 2024,11/22/2024,11-22-2024,22/11/2024,22-11-2024,2024/11/22,2024-11-22,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Kendrick Lamar released his most recent studio album, ""GNX,"" on November 22, 2024.","['Nov 22, 2024', 'November 22, 2024', '22 Nov 2024', '22 November 2024', '11/22/2024', '11-22-2024', '22/11/2024', '22-11-2024', '2024/11/22', '2024-11-22']",correct,evaluation: correct
179,179,TEST,Where were the Summer Olympics held most recently?,2024,08/11/2028,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Summer_Olympic_Games#:~:text=2024%5B97,Paris","Paris, France",France,,,,,,,,,,"The question contains a valid premise. The most recent Summer Olympics were held in Paris, France, in 2024.","['Paris, France', 'France']",correct,evaluation: correct
180,180,TEST,In which year was the last UEFA European Championship was held?,2024,01/01/2028,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/UEFA_European_Championship#:~:text=24-,17,2024,-Germany",2024,,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The last UEFA European Championship was held in 2024.",['2024'],correct,evaluation: correct
181,181,TEST,When is the next leap year?,2024,01/01/2028,False,one-hop,slow-changing,https://www.cbsnews.com/news/2024-leap-year-status-meaning/#:~:text=After%20that%2C%20expect%20leap%20years%20in%202028,2028,,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the next leap year will be 2028.",['2028'],correct,evaluation: correct
182,182,TEST,What's the latest major version of the .NET?,2024,11/01/2025,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/.NET#:~:text=3%20years-,.NET%209,-November%2012%2C%202024",.NET 9,,,,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The latest major version of .NET is .NET 10, released in November 2025.",['.NET 9'],incorrect,evaluation: incorrect
229,229,TEST,How many public health emergency of international concern declarations have been made by WHO in the last 5 years?,2025,occasionally,False,multi-hop,slow-changing,https://en.wikipedia.org/wiki/Public_health_emergency_of_international_concern#Declarations,2,two,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the World Health Organization (WHO) has declared two public health emergencies of international concern (PHEIC) in the last five years: the COVID-19 pandemic on January 30, 2020, and the mpox outbreak on August 14, 2024.","['2', 'two']",correct,evaluation: correct
230,230,TEST,In what country was the current World's Strongest Man born?,2025,occasionally,False,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/World%27s_Strongest_Man#2020s:~:text=%2C%20South%20Carolina-,2025,Rayno%20Nel,-Tom%20Stoltman
https://en.wikipedia.org/wiki/Rayno_Nel#:~:text=Upington%2C-,South%20Africa,-Occupation",South Africa,,,,,,,,,,,"The question contains a valid premise. As of the most recent information, Rayno Nel is the current World's Strongest Man, and he was born in South Africa.",['South Africa'],correct,evaluation: correct
231,231,TEST,"How many publicly traded American companies have, at any point, had a market capitalization in excess of $3 trillion?",2025,occasionally,False,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_public_corporations_by_market_capitalization#:~:text=Nvidia,%5B21%5D",4,four,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the most up-to-date and relevant information indicates that three publicly traded American companies have, at some point, had a market capitalization in excess of $3 trillion: Apple, Microsoft, and Alphabet.","['4', 'four']",incorrect,evaluation: incorrect
232,232,TEST,How many federal crimes has the most recent former president of the United States been convicted of?,2025,01/01/2029,False,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Joe_Biden#:~:text=Biden%20(disambiguation).-,Joe%20Biden,-Official%20portrait%2C%202021","Joe Biden, the most recent former president of the United States, hasn't been convicted of any federal crimes.",0,zero,none,,,,,,,,"The question contains an invalid premise. The most recent former president of the United States, Donald Trump, has not been convicted of any federal crimes. He was convicted of 34 counts of falsifying business records in New York state court, which are state charges, not federal.","[""Joe Biden, the most recent former president of the United States, hasn't been convicted of any federal crimes."", '0', 'zero', 'none']",incorrect,evaluation: incorrect
233,233,TEST,Who is the spouse of the President of the United States?,2025,01/01/2029,False,multi-hop,slow-changing,https://en.wikipedia.org/wiki/First_Lady_of_the_United_States#:~:text=Current%0AMelania%20Trump,Melania Trump,Melania Knauss Trump,Melanija Knavs,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the spouse of the President of the United States, Donald J. Trump, is Melania Trump.","['Melania Trump', 'Melania Knauss Trump', 'Melanija Knavs']",correct,evaluation: correct
234,234,TEST,Who is the vice-chancellor of the largest university by enrollment in the world?,2024,occasionally,False,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_largest_universities_and_university_networks_by_enrollment#:~:text=Ref-,1,Indira%20Gandhi%20National%20Open%20University,-New%20Delhi%2C
https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University#:~:text=Government%20of%20India-,Vice%2DChancellor,Uma%20Kanjilal,-Visitor",Uma Kanjilal,Prof. Uma Kanjilal has been appointed as the Acting Vice Chancellor of Indira Gandhi National Open University.,,,,,,,,,,"The question contains a valid premise. The largest university by enrollment in the world is the Indira Gandhi National Open University (IGNOU) in Delhi, India. The vice-chancellor of IGNOU is Harun -or- Rashid.","['Uma Kanjilal', 'Prof. Uma Kanjilal has been appointed as the Acting Vice Chancellor of Indira Gandhi National Open University.']",incorrect,evaluation: incorrect
373,373,TEST,How old is President Donald Trump?,2025,occasionally,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/Donald_Trump#:~:text=14%2C%201946%20(-,age%C2%A079,-)",79,79 years old,,,,,,,,,,"As of today, November 15, 2025, President Donald Trump is 79 years old. He was born on June 14, 1946.","['79', '79 years old']",correct,evaluation: correct
374,374,TEST,Who was the winner of The Voice US this year?,2025,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/The_Voice_(American_TV_series)#:~:text=27-,Adam%20David,-Jaelen%20Johnston",Adam David,,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The winner of The Voice US this year, 2025, was Adam David, who won Season 27.",['Adam David'],correct,evaluation: correct
375,375,TEST,How many countries have recognized same-sex marriage?,2025,frequently,False,one-hop,fast-changing,https://en.wikipedia.org/wiki/Same-sex_marriage#:~:text=As%20of%202025%2C%20marriage%20between%20same%2Dsex%20couples%20is%20legally%20performed%20and%20recognized%20in%2038%20countries,38 countries,38,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the most up-to-date and relevant information indicates that 38 countries have recognized same-sex marriage.","['38 countries', '38']",correct,evaluation: correct
376,376,TEST,How many exoplanets have been discovered?,2025,frequently,False,one-hop,fast-changing,https://en.wikipedia.org/wiki/Lists_of_planets#:~:text=there%20are%206%2C022%20confirmed%20exoplanets,"6,022 confirmed exoplanets","6,022",,,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Over 6,000 exoplanets have been confirmed.","['6,022 confirmed exoplanets', '6,022']",incorrect,evaluation: incorrect
377,377,TEST,How many goals has Erling Haaland scored in the UEFA Champion League?,2025,frequently,False,one-hop,fast-changing,https://www.uefa.com/uefachampionsleague/news/0268-11f9321e7599-fde3dd4a7bd0-1000--erling-haaland-in-the-champions-league-scoring-record-opponents/#:~:text=Erling%20Haaland%20has%20scored%2053%20goals%20in%20just%2051%20UEFA%20Champions%20League%20appearances,53 goals,53,,,,,,,,,,"The question contains a valid premise. As of the latest information available, Erling Haaland has scored 54 goals in the UEFA Champions League.","['53 goals', '53']",incorrect,evaluation: incorrect
378,378,TEST,What is the latest highest-grossing movie of the week at the Box office?,2025,frequently,False,one-hop,fast-changing,"https://www.boxofficemojo.com/weekly/?ref_=bo_nb_wly_secondarytab#:~:text=64-,Tron%3A%20Ares,-41",Tron: Ares,,,,,,,,,,,"The question contains a valid premise. As of the latest available data, the highest-grossing movie of the week at the box office is ""Predator: Badlands,"" with a gross of $40.0 million.",['Tron: Ares'],incorrect,evaluation: incorrect
379,379,TEST,How many tornadoes have been confirmed by Enhanced Fujita rating in the United States so far this year?,2025,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/Tornadoes_of_2025#:~:text=1-,1%2C292,-Fatal%20United%20States","1,292","There have been 1,292 confirmed tornadoes in the United States.",,,,,,,,,,"The question contains a valid premise. However, the specific number of tornadoes confirmed by Enhanced Fujita rating in the United States for the year 2025 is not provided in the available sources.","['1,292', 'There have been 1,292 confirmed tornadoes in the United States.']",incorrect,evaluation: incorrect
380,380,TEST,How many citations does Geoffrey Hinton have according to Google Scholar?,2025,frequently,False,one-hop,fast-changing,"https://scholar.google.com/citations?user=JicYPdAAAAAJ&hl=en#:~:text=Citations-,972453,-597125",972453,972K,,,,,,,,,,"The question contains a valid premise. As of the most recent information available, Geoffrey Hinton has reached one million citations according to Google Scholar.","['972453', '972K']",incorrect,evaluation: incorrect
381,381,TEST,What date was the last time it rained in New York City?,2025,frequently,False,one-hop,fast-changing,https://www.timeanddate.com/weather/@z-us-10021/historic,"Oct 20, 2025","October 20, 2025",20 Oct 2025,20 October 2025,10/20/2025,10-20-2025,20/10/2025,20-10-2025,2025/10/20,2025-10-20,,"The question ""What date was the last time it rained in New York City?"" does not contain a valid premise because it lacks a specific timeframe or context. Rainfall is a frequent occurrence in New York City, and without a specific date range or context, it is not possible to determine the exact last date it rained.","['Oct 20, 2025', 'October 20, 2025', '20 Oct 2025', '20 October 2025', '10/20/2025', '10-20-2025', '20/10/2025', '20-10-2025', '2025/10/20', '2025-10-20']",incorrect,evaluation: incorrect
382,382,TEST,What is the current best-selling children's book on Amazon?,2025,frequently,False,one-hop,fast-changing,"https://www.amazon.com/Best-Sellers-Children%27s-Books/zgbs/books/4#:~:text=Partypooper%3A%20A%20side,Jeff%20Kinney",Diary of a Wimpy Kid: Partypooper,,,,,,,,,,,"The question ""What is the current best-selling children's book on Amazon?"" does not contain a valid premise because it requires real-time data, which I cannot access. Please check Amazon's website for the most up-to-date information.",['Diary of a Wimpy Kid: Partypooper'],incorrect,evaluation: incorrect
383,383,TEST,What is the current most popular Wikipedia article of the Week?,2025,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/Wikipedia:Top_25_Report#:~:text=Notes/about-,1,Ed%20Gein,-5%2C062%2C577",Ed Gein,,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The current most popular Wikipedia article of the week is ""Zohran Mamdani"" with 7,556,241 views.",['Ed Gein'],incorrect,evaluation: incorrect
384,384,TEST,How much does the Netflix standard plan without ads cost in the US?,2025,frequently,False,one-hop,fast-changing,https://help.netflix.com/en/node/24926#:~:text=Standard%3A%20%2417.99%20/%20month,$17.99,$17.99 / month,$17.99 a month,$17.99 per month,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the Netflix standard plan without ads costs $17.99 per month in the US.","['$17.99', '$17.99 / month', '$17.99 a month', '$17.99 per month']",correct,evaluation: correct
385,385,TEST,Who is the current No. 1 on the Billboard Artist 100?,2025,frequently,False,one-hop,fast-changing,"https://www.billboard.com/charts/artist-100/#:~:text=1-,Taylor%20Swift,-Taylor%20Swift",Taylor Swift,,,,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Taylor Swift is currently No. 1 on the Billboard Artist 100.",['Taylor Swift'],correct,evaluation: correct
