id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,model_response,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,eval_rating_robust,eval_explanation_robust
157,TEST,How many core faculty are there in the UMass NLP lab?,2025,occasionally,False,one-hop,slow-changing,"https://nlp.cs.umass.edu/members/#:~:text=multidisciplinary%20affiliates.-,Faculty,-Laure%20Thompson%0A%20%20%0ACultural",The provided sources do not specify the number of core faculty in the UMass NLP lab.,2,two,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response incorrectly lists four faculty members, which contradicts the verified fact that there are two core faculty members in the UMass NLP lab. It introduces unverified names and details, making it incorrect.""}"
158,TEST,How many LA metro rail stations are there?,2025,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_Los_Angeles_Metro_Rail_stations#:~:text=The%20system%20includes%20107%20metro%20stations,There are 107 LA Metro Rail stations.,107,,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response accurately provides the verified fact that the LA Metro Rail system has 107 stations, without introducing any hallucinated details. It is faithful to the evidence provided.""}"
159,TEST,How many properties are there in the latest list of World Heritage in danger?,2025,occasionally,False,one-hop,slow-changing,"https://whc.unesco.org/en/danger-list/#:~:text=The-,53%20properties,-which%20the%20World","As of April 2024, there are 56 entries on the List of World Heritage in Danger.",53,,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response fails to provide the correct number of properties (53) on the World Heritage in danger list, which is a verifiable fact. It incorrectly states uncertainty where a specific answer is available.""}"
160,TEST,Who won the biggest single-tournament payday in tennis history?,2025,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/ATP_Finals#:~:text=By%20winning%20the%202024%20title%2C%20Sinner%20earned%20a%20record%20%244%2C881%2C100%2C%20the%20second%20highest%20payout%20for%20a%20tournament%20winner%20in%20tennis%2C%20only%20after%20the%205%20million%20dollars%20prize%20won%20by%20Carlos%20Alcaraz%20at%20the%202025%20US%20Open%20%E2%80%93%20Men%27s%20singles.,"Jannik Sinner won the biggest single-tournament payday in tennis history, earning 4,881,100 US dollars.",Carlos Alcaraz,Alcaraz,Carlos Alcaraz Garfia,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response provides specific details about the 2025 US Open and the prize money, which are not supported by the provided gold facts. It introduces concrete details without verification, making it incorrect.""}"
161,TEST,What's the largest stadium by capacity in the world?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_stadiums_by_capacity#Capacity_of_100,000_or_more:~:text=Rungrado%201st%20of%20May%20Stadium","The largest stadium by capacity in the world is the Rungrado 1st of May Stadium in North Korea, with a capacity of 150,000.",Rungrado 1st of May Stadium,,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response includes unnecessary procedural details and a specific source that may not be verifiable. It should directly state the verified fact without additional, potentially unverifiable information.""}"
162,TEST,What is the title of Taylor Swift's most recent studio album?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Taylor_Swift_albums_discography#Studio_albums:~:text=%5B96%5D-,The%20Life%20of%20a%20Showgirl,-Released%3A%20October%203","The title of Taylor Swift's most recent studio album is ""The Life of a Showgirl.""",The Life of a Showgirl,,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response provides specific details about Taylor Swift's most recent studio album, including the title and release date, without any verified evidence to support these claims. This violates the principle of not asserting facts without confirmation, making the response incorrect.""}"
163,TEST,What month and year did Bitcoin reach its peak value?,2025,frequently,False,one-hop,slow-changing,https://www.google.com/finance/quote/BTC-USD?hl=en&window=5Y,Bitcoin reached its peak value in October 2025.,October 2025,10/2025,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response provides a specific peak value and date for Bitcoin's price, which is not supported by the verified gold facts. It introduces concrete details without qualification, violating the scoring principles.""}"
164,TEST,Is there a total solar eclipse in the continental US this year?,2025,01/01/2044,False,one-hop,slow-changing,https://www.cbsnews.com/news/next-total-solar-eclipse-2044-2045/#:~:text=The%20awe%2Dinspiring%20experience%20won%27t%20happen%20in%20the%20U.S.%20again%20until%202044%2C%20with%20only%20three%20states%20in%20the%20path%2C%20and%202045%2C%20with%20more%20than%20a%20dozen%20states%20in%20the%20path.,"No, there is not a total solar eclipse in the continental US this year.",No,,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response introduces specific dates for partial solar eclipses in 2025 and references a source, which could be considered hallucinated details without verified evidence. It should have simply stated that there is no total solar eclipse in the continental US in 2025 without adding unverified specifics.""}"
165,TEST,Who is the President of the United States?,2025,01/01/2029,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/President_of_the_United_States#:~:text=Incumbent%0ADonald%20Trump,The President of the United States is Donald J. Trump.,Donald Trump,Donald John Trump,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response fails to provide the correct answer, which is Donald Trump, and instead expresses uncertainty. The correct answer is verifiable and should have been stated.""}"
166,TEST,Who is the most recent player to win both the PDC World Youth Championship and the PDC World Darts Championship?,2025,01/03/2026,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/PDC_World_Darts_Championship#:~:text=Paddy%20Power-,2025,%C2%A0Luke%20Littler,-(102.73)
https://en.wikipedia.org/wiki/Luke_Littler#:~:text=In%20his%20youth%20career%2C%20Littler%20won%20the%202023%20PDC%20World%20Youth%20Championship",Luke Littler,Luke Littler,,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response asserts specific facts about Luke Littler winning both championships in 2025, but these claims are not supported by the provided gold evidence. The response introduces details without qualification, which violates the scoring principles.""}"
